Point ID,Cell ID,Cell Boundary IDs,Status Point,Status Boundary
2415791,2345951,[2415755 2415756 2415762 2415761 2415791 2415792 2415798 2415797],1.625,"[1.5, 0.875, 2.375, 3.0, 1.625, 1.0, 2.5, 2.875]"
2415791,2345951,[2415755 2415756 2415762 2415761 2415791 2415792 2415798 2415797],1.625,"[1.5, 0.875, 2.375, 3.0, 1.625, 1.0, 2.5, 2.875]"
2427673,2357833,[2427637 2427638 2427644 2427643 2427673 2427674 2427680 2427679],1.875,"[1.625, 1.0, 2.5, 3.0, 1.875, 1.125, 2.625, 3.0]"
2427674,2357834,[2427638 2427639 2427645 2427644 2427674 2427675 2427681 2427680],1.125,"[1.0, 0.25, 1.75, 2.5, 1.125, 0.375, 1.875, 2.625]"
2427682,2357841,[2427645 2427646 2427652 2427651 2427681 2427682 2427688 2427687],0.875,"[1.75, 1.0, 2.5, 3.0, 1.875, 0.875, 2.375, 3.0]"
2427682,2357842,[2427646 2427647 2427653 2427652 2427682 2427683 2427689 2427688],0.875,"[1.0, 0.25, 1.75, 2.5, 0.875, 0.125, 1.625, 2.375]"
2427690,2357849,[2427653 2427654 2427660 2427659 2427689 2427690 2427696 2427695],1.125,"[1.75, 1.0, 2.5, 3.0, 1.625, 1.125, 2.625, 3.0]"
2427690,2358060,[2427654 2427865 2427871 2427660 2427690 2427901 2427907 2427696],1.125,"[1.0, 0.25, 1.75, 2.5, 1.125, 0.375, 1.875, 2.625]"
2427907,2358067,[2427871 2427872 2427878 2427877 2427907 2427908 2427914 2427913],1.875,"[1.75, 0.75, 2.25, 3.0, 1.875, 0.75, 2.25, 3.0]"
2427908,2358068,[2427872 2427873 2427879 2427878 2427908 2427909 2427915 2427914],0.75,"[0.75, 0.0, 1.0, 2.25, 0.75, 0.0, 1.125, 2.25]"
2427915,2358470,[2427878 2427879 2428281 2428280 2427914 2427915 2428317 2428316],1.125,"[2.25, 1.0, 2.5, 3.0, 2.25, 1.125, 2.625, 3.0]"
2428318,2358472,[2427880 2427881 2428283 2428282 2427916 2427917 2428319 2428318],1.875,"[0.25, 0.0, 0.875, 1.75, 0.375, 0.0, 0.75, 1.875]"
2428318,2358478,[2428282 2428283 2428289 2428288 2428318 2428319 2428325 2428324],1.875,"[1.75, 0.875, 2.375, 3.0, 1.875, 0.75, 2.25, 3.0]"
2428319,2358479,[2428283 2428284 2428290 2428289 2428319 2428320 2428326 2428325],0.75,"[0.875, 0.125, 1.125, 2.375, 0.75, 0.0, 1.125, 2.25]"
2428326,2358485,[2428289 2428290 2428296 2428295 2428325 2428326 2428332 2428331],1.125,"[2.375, 1.125, 2.5, 3.0, 2.25, 1.125, 2.625, 3.0]"
2428326,2359992,[2428290 2429797 2429803 2428296 2428326 2429833 2429839 2428332],1.125,"[1.125, 0.25, 1.75, 2.5, 1.125, 0.375, 1.875, 2.625]"
2429839,2359999,[2429803 2429804 2429810 2429809 2429839 2429840 2429846 2429845],1.875,"[1.75, 0.75, 2.25, 3.0, 1.875, 0.75, 2.25, 3.0]"
2429846,2360000,[2429804 2429805 2429811 2429810 2429840 2429841 2429847 2429846],2.25,"[0.75, 0.0, 0.75, 2.25, 0.75, 0.0, 0.75, 2.25]"
2429846,2360006,[2429810 2429811 2429817 2429816 2429846 2429847 2429853 2429852],2.25,"[2.25, 0.75, 2.25, 3.0, 2.25, 0.75, 2.25, 3.0]"
2429847,2360007,[2429811 2429812 2429818 2429817 2429847 2429848 2429854 2429853],0.75,"[0.75, 0.0, 0.75, 2.25, 0.75, 0.0, 0.75, 2.25]"
2429854,2360013,[2429817 2429818 2429824 2429823 2429853 2429854 2429860 2429859],0.75,"[2.25, 0.75, 2.25, 3.0, 2.25, 0.75, 2.25, 3.0]"
2429854,2360014,[2429818 2429819 2429825 2429824 2429854 2429855 2429861 2429860],0.75,"[0.75, 0.0, 0.75, 2.25, 0.75, 0.0, 0.75, 2.25]"
2429861,2360014,[2429818 2429819 2429825 2429824 2429854 2429855 2429861 2429860],0.75,"[0.75, 0.0, 0.75, 2.25, 0.75, 0.0, 0.75, 2.25]"
2492436,2418738,[2492400 2492611 2492617 2492406 2492436 2492647 2492653 2492442],0.75,"[0.875, 0.125, 0.875, 2.375, 0.75, 0.0, 0.75, 2.25]"
2492442,2418738,[2492400 2492611 2492617 2492406 2492436 2492647 2492653 2492442],2.25,"[0.875, 0.125, 0.875, 2.375, 0.75, 0.0, 0.75, 2.25]"
2614706,2539717,[2614670 2614671 2614677 2614676 2614706 2614707 2614713 2614712],1.25,"[1.0, 0.0, 0.25, 1.75, 1.25, 0.0, 0.375, 1.875]"
2614712,2539723,[2614676 2614677 2614683 2614682 2614712 2614713 2614719 2614718],1.875,"[1.75, 0.25, 1.0, 2.5, 1.875, 0.375, 1.125, 2.625]"
2617713,2542718,[2614683 2614684 2617678 2617677 2614719 2614720 2617714 2617713],1.875,"[1.0, 0.0, 0.25, 1.75, 1.125, 0.0, 0.375, 1.875]"
2617713,2542724,[2617677 2617678 2617684 2617683 2617713 2617714 2617720 2617719],1.875,"[1.75, 0.25, 1.0, 2.5, 1.875, 0.375, 1.125, 2.625]"
2617720,2542724,[2617677 2617678 2617684 2617683 2617713 2617714 2617720 2617719],1.125,"[1.75, 0.25, 1.0, 2.5, 1.875, 0.375, 1.125, 2.625]"
2617720,2542730,[2617683 2617684 2617690 2617689 2617719 2617720 2617726 2617725],1.125,"[2.5, 1.0, 1.75, 3.0, 2.625, 1.125, 1.875, 3.0]"
2617726,2542731,[2617684 2617685 2617691 2617690 2617720 2617721 2617727 2617726],1.875,"[1.0, 0.0, 0.25, 1.75, 1.125, 0.0, 0.375, 1.875]"
4682231,4562992,[4682195 4682196 4682202 4682201 4682231 4682232 4682238 4682237],2.25,"[2.0, 0.5, 0.5, 2.0, 2.25, 0.75, 0.75, 2.25]"
4682243,4563400,[4682207 4682208 4682610 4682609 4682243 4682244 4682646 4682645],1.875,"[1.75, 0.25, 0.0, 1.0, 1.875, 0.375, 0.0, 1.125]"
4682657,4563417,[4682620 4682621 4682627 4682626 4682656 4682657 4682663 4682662],0.75,"[2.0, 0.5, 0.25, 1.75, 2.25, 0.75, 0.375, 1.875]"
4682656,4563417,[4682620 4682621 4682627 4682626 4682656 4682657 4682663 4682662],2.25,"[2.0, 0.5, 0.25, 1.75, 2.25, 0.75, 0.375, 1.875]"
4682662,4563423,[4682626 4682627 4682633 4682632 4682662 4682663 4682669 4682668],1.875,"[1.75, 0.25, 0.0, 1.0, 1.875, 0.375, 0.0, 1.125]"
4682662,4563423,[4682626 4682627 4682633 4682632 4682662 4682663 4682669 4682668],1.875,"[1.75, 0.25, 0.0, 1.0, 1.875, 0.375, 0.0, 1.125]"
1739249,5766587,[1739243 1739244 1739250 1739249 5911757 5911758 5911764 5911763],1.5,"[0.75, 1.125, 1.875, 1.5, 1.5, 1.75, 2.125, 2.0]"
1836649,5863554,[1835136 1836643 1836649 1835142 6008484 6009954 6009960 6008490],0.75,"[2.25, 2.25, 0.75, 0.75, 2.25, 2.25, 1.25, 1.25]"
1836649,5863561,[1836649 1836650 1836656 1836655 6009960 6009961 6009967 6009966],0.75,"[0.75, 1.375, 0.25, 0.0, 1.25, 1.875, 0.75, 0.25]"
1867975,5894880,[1867758 1867969 1867975 1867764 6041304 6041515 6041521 6041310],1.5,"[0.75, 1.5, 1.5, 0.75, 1.5, 2.0, 2.0, 1.5]"
1867975,5894880,[1867758 1867969 1867975 1867764 6041304 6041515 6041521 6041310],1.5,"[0.75, 1.5, 1.5, 0.75, 1.5, 2.0, 2.0, 1.5]"
1867975,5894886,[1867764 1867975 1867981 1867770 6041310 6041521 6041527 6041316],1.5,"[0.75, 1.5, 1.5, 0.75, 1.5, 2.0, 2.0, 1.5]"
3812086,7787458,[3812086 3812087 3812093 3812092 7963870 7963871 7963877 7963876],1.5,"[1.5, 1.5, 0.75, 0.75, 2.0, 2.0, 1.5, 1.5]"
3906367,7881860,[3906361 3906362 3906368 3906367 8059609 8059610 8059616 8059615],0.75,"[0.0, 0.0, 1.125, 0.75, 0.5, 0.5, 1.625, 1.5]"
3906370,7881862,[3906363 3906364 3906370 3906369 8059611 8059612 8059618 8059617],2.25,"[0.375, 0.75, 2.25, 1.875, 1.0, 1.5, 2.25, 2.0]"
3906367,7881866,[3906367 3906368 3906374 3906373 8059615 8059616 8059622 8059621],0.75,"[0.75, 1.125, 2.625, 2.25, 1.5, 1.625, 2.375, 2.25]"
3917230,7892674,[3917229 3917230 3917236 3917235 8070423 8070424 8070430 8070429],1.0,"[0.375, 1.0, 2.5, 1.875, 1.25, 1.5, 2.375, 2.0]"
3918934,7894372,[3918531 3918532 3918934 3918933 8071725 8071726 8072128 8072127],1.5,"[1.5, 1.5, 1.5, 1.5, 2.0, 2.0, 2.0, 2.0]"
4598884,8714535,[4598877 4598878 4598884 4598883 8897572 8897573 8897579 8897578],0.75,"[2.625, 2.25, 0.75, 1.125, 2.75, 2.5, 1.0, 1.25]"
4607759,8728595,[4607753 4607754 4607760 4607759 8912646 8912647 8912653 8912652],1.875,"[3.0, 2.25, 0.75, 1.875, 2.875, 2.125, 0.625, 1.875]"
4607759,8728595,[4607753 4607754 4607760 4607759 8912646 8912647 8912653 8912652],1.875,"[3.0, 2.25, 0.75, 1.875, 2.875, 2.125, 0.625, 1.875]"
4607962,8728798,[4607956 4607957 4607963 4607962 8912849 8912850 8912856 8912855],1.875,"[3.0, 2.625, 1.125, 1.875, 3.0, 2.75, 1.25, 2.0]"
4607958,8728799,[4607957 4607958 4607964 4607963 8912850 8912851 8912857 8912856],1.875,"[2.625, 1.875, 0.375, 1.125, 2.75, 1.875, 0.5, 1.25]"
4607962,8728803,[4607961 4607962 4607968 4607967 8912854 8912855 8912861 8912860],1.875,"[2.625, 1.875, 0.375, 1.125, 2.75, 2.0, 0.5, 1.25]"
4608160,8728995,[4607757 4607758 4608160 4608159 8912650 8912651 8913053 8913052],1.125,"[3.0, 2.625, 1.125, 1.875, 3.0, 2.75, 1.25, 2.0]"
4608160,8728995,[4607757 4607758 4608160 4608159 8912650 8912651 8913053 8913052],1.125,"[3.0, 2.625, 1.125, 1.875, 3.0, 2.75, 1.25, 2.0]"
4608164,8728999,[4608157 4608158 4608164 4608163 8913050 8913051 8913057 8913056],1.125,"[3.0, 2.625, 1.125, 2.25, 3.0, 2.75, 1.25, 2.125]"
4608165,8729000,[4608158 4608159 4608165 4608164 8913051 8913052 8913058 8913057],0.375,"[2.625, 1.875, 0.375, 1.125, 2.75, 2.0, 0.5, 1.25]"
4607958,8729004,[4607952 4608163 4608169 4607958 8912845 8913056 8913062 8912851],1.875,"[3.0, 2.25, 0.75, 1.875, 2.875, 2.125, 0.625, 1.875]"
4608169,8729004,[4607952 4608163 4608169 4607958 8912845 8913056 8913062 8912851],0.75,"[3.0, 2.25, 0.75, 1.875, 2.875, 2.125, 0.625, 1.875]"
4585512,8730077,[4585511 4585512 4609242 4609241 8874211 8874212 8914135 8914134],2.25,"[3.0, 2.25, 0.75, 2.25, 3.0, 2.25, 0.75, 2.125]"
4609241,8730077,[4585511 4585512 4609242 4609241 8874211 8874212 8914135 8914134],2.25,"[3.0, 2.25, 0.75, 2.25, 3.0, 2.25, 0.75, 2.125]"
4609241,8730082,[4609240 4609241 4609247 4609246 8914133 8914134 8914140 8914139],2.25,"[3.0, 2.25, 0.75, 2.25, 2.875, 2.125, 0.625, 2.0]"
4609246,8730082,[4609240 4609241 4609247 4609246 8914133 8914134 8914140 8914139],2.25,"[3.0, 2.25, 0.75, 2.25, 2.875, 2.125, 0.625, 2.0]"
